STATEFP,CD115FP,AFFGEOID,GEOID,LSAD,CDSESSN,ALAND,AWATER,PP_20m
42,13,5001500US4213,4213,C2,115,401881854,2643954,22
42,09,5001500US4209,4209,C2,115,14840765430,94934039,19
42,15,5001500US4215,4215,C2,115,3328751160,33574274,22
45,04,5001500US4504,4504,C2,115,3365375010,44755518,49
45,05,5001500US4505,4505,C2,115,14259942806,265675132,32
41,02,5001500US4102,4102,C2,115,179860036930,1904464238,58
17,08,5001500US1708,1708,C2,115,532547074,10497220,26
05,04,5001500US0504,0504,C2,115,57854702031,1050248298,36
05,02,5001500US0502,0502,C2,115,12895656924,302532360,35
06,24,5001500US0624,0624,C2,115,17832881475,3683678861,23
06,50,5001500US0650,0650,C2,115,7222171605,40717916,40
06,23,5001500US0623,0623,C2,115,25636753464,99798902,25
06,52,5001500US0652,0652,C2,115,691530889,296833733,24
06,18,5001500US0618,0618,C2,115,1802931104,329756821,49
06,20,5001500US0620,0620,C2,115,12623981667,1575067676,47
06,42,5001500US0642,0642,C2,115,2423945955,44654905,23
06,26,5001500US0626,0626,C2,115,2432290793,807145392,28
06,51,5001500US0651,0651,C2,115,12410088463,870604257,32
06,01,5001500US0601,0601,C2,115,72746743500,1948066328,39
06,17,5001500US0617,0617,C2,115,480150143,21997291,65
06,16,5001500US0616,0616,C2,115,7353849309,119233968,39
06,33,5001500US0633,0633,C2,115,747462851,489601286,19
06,15,5001500US0615,0615,C2,115,1549178227,73579085,47
06,12,5001500US0612,0612,C2,115,100995002,211552145,81
06,38,5001500US0638,0638,C2,115,262652711,3822553,43
06,47,5001500US0647,0647,C2,115,560128410,1176344307,16
06,21,5001500US0621,0621,C2,115,17430139807,36086186,27
06,04,5001500US0604,0604,C2,115,33247167385,858265033,41
06,22,5001500US0622,0622,C2,115,3017080261,10631876,26
15,01,5001500US1501,1501,C2,115,541435682,456697044,41
32,02,5001500US3202,3202,C2,115,144597298061,1316053447,61
25,04,5001500US2504,2504,C2,115,1730755717,86366275,26
25,07,5001500US2507,2507,C2,115,162438867,97447912,26
25,02,5001500US2502,2502,C2,115,4216399937,221853716,40
25,08,5001500US2508,2508,C2,115,845278194,447520003,19
28,04,5001500US2804,2804,C2,115,20835219863,2217269189,54
28,02,5001500US2802,2802,C2,115,40277934712,961395147,32
42,17,5001500US4217,4217,C2,115,4488179340,58691914,12
42,10,5001500US4210,4210,C2,115,21697859390,299061742,18
42,04,5001500US4204,4204,C2,115,3931308220,41444989,48
45,07,5001500US4507,4507,C2,115,13869661445,958845402,41
45,02,5001500US4502,4502,C2,115,7828023072,225639187,27
51,05,5001500US5105,5105,C2,115,25979420541,392124628,23
51,04,5001500US5104,5104,C2,115,9432364465,297373648,31
51,09,5001500US5109,5109,C2,115,23608121431,153964570,24
51,06,5001500US5106,5106,C2,115,15354741800,106015128,25
12,11,5001500US1211,1211,C2,115,6190210209,1289210544,43
12,08,5001500US1208,1208,C2,115,4536424864,1710655903,41
29,07,5001500US2907,2907,C2,115,16246575947,248417066,49
29,02,5001500US2902,2902,C2,115,1206418804,37435850,47
53,03,5001500US5303,5303,C2,115,23610622725,1220444333,33
53,04,5001500US5304,5304,C2,115,49847973873,808275992,28
53,02,5001500US5302,5302,C2,115,2629866121,2684013091,26
53,08,5001500US5308,5308,C2,115,19061011206,370370438,29
54,01,5001500US5401,5401,C2,115,16253925821,176283975,19
72,98,5001500US7298,7298,C3,115,8868734851,4922543816,32
26,07,5001500US2607,2607,C2,115,10950269576,526293098,31
26,10,5001500US2610,2610,C2,115,10728138463,5439745597,51
26,04,5001500US2604,2604,C2,115,21906078722,521178033,42
26,11,5001500US2611,2611,C2,115,1085491777,55909219,25
36,01,5001500US3601,3601,C2,115,1683369812,3360069908,22
36,27,5001500US3627,3627,C2,115,10290366665,3222836917,41
36,24,5001500US3624,3624,C2,115,6186354160,3271976203,50
36,16,5001500US3616,3616,C2,115,202993288,76385505,48
36,23,5001500US3623,3623,C2,115,19092488019,1602469476,37
36,12,5001500US3612,3612,C2,115,38311106,7282926,71
36,20,5001500US3620,3620,C2,115,3189351632,81971753,45
36,03,5001500US3603,3603,C2,115,660257279,301925010,54
36,21,5001500US3621,3621,C2,115,39144878013,3342021173,53
36,26,5001500US3626,3626,C2,115,567573235,35617896,48
36,22,5001500US3622,3622,C2,115,13150501326,386973109,29
01,01,5001500US0101,0101,C2,115,15713086471,2275834340,18
